HEAD,0.000,7.000,
f000001,7.000,12.000,"Good evening from Arizona State University in Tempe, Arizona."
f000002,12.000,13.800,I'm Bob Schieffer of CBS News.
f000003,13.800,22.400,I want to welcome you to the third and last of the 2004 debates between President George Bush and Senator John Kerry.
f000004,22.400,28.800,"As Jim Lehrer told you before the first one, these debates are sponsored by the Commission on Presidential Debates."
n000001,28.800,29.200,(SILENCE)
f000005,29.200,35.000,"Tonight the topic will be domestic affairs, but the format will be the same as that first debate."
n000002,35.000,35.560,(SILENCE)
f000006,35.560,44.240,"I'll moderate our discussion under detailed rules agreed to by the candidates, but the questions and the areas to be covered were chosen by me."
n000003,44.240,44.640,(SILENCE)
f000007,44.640,48.060,I have not told the candidates or anyone else what they are.
f000008,48.060,52.120,"To refresh your memory on the rules, I will ask a question."
f000009,52.120,54.600,The candidate is allowed two minutes to answer.
n000004,54.600,55.000,(SILENCE)
f000010,55.000,58.880,His opponent then has a minute and a half to offer a rebuttal.
f000011,58.880,65.000,"At my discretion, I can extend the discussion by offering each candidate an additional 30 seconds."
n000005,65.000,65.480,(SILENCE)
f000012,65.480,69.440,A green light will come on to signal the candidate has 30 seconds left.
f000013,69.440,72.880,A yellow light signals 15 seconds left.
n000006,72.880,73.320,(SILENCE)
f000014,73.320,75.840,A red light means five seconds left.
n000007,75.840,76.320,(SILENCE)
f000015,76.320,79.680,"There is also a buzzer, if it is needed."
f000016,79.680,82.120,The candidates may not question each other directly.
n000008,82.120,82.520,(SILENCE)
f000017,82.520,87.920,"There are no opening statements, but there will be two-minute closing statements."
n000009,87.920,88.360,(SILENCE)
f000018,88.360,98.600,"There is an audience here tonight, but they have agreed to remain silent, except for right now, when they join me in welcoming President George Bush and Senator John Kerry."
n000010,98.600,99.000,(SILENCE)
f000019,99.000,101.120,"(APPLAUSE)  Gentlemen, welcome to you both."
f000020,101.120,139.300,"By coin toss, the first question goes to Senator Kerry."
f000021,139.300,150.860,"Senator, I want to set the stage for this discussion by asking the question that I think hangs over all of our politics today and is probably on the minds of many people watching this debate tonight."
f000022,150.860,161.540,"And that is, will our children and grandchildren ever live in a world as safe and secure as the world in which we grew up?"
f000023,161.540,165.420,"Well, first of all, Bob, thank you for moderating tonight."
f000024,165.420,167.720,"Thank you, Arizona State, for welcoming us."
n000011,167.720,168.360,(SILENCE)
f000025,168.360,173.520,And thank you to the Presidential Commission for undertaking this enormous task.
f000026,173.520,174.240,We're proud to be here.
f000027,174.240,180.500,"Mr. President, I'm glad to be here with you again to share similarities and differences with the American people."
f000028,180.500,183.000,Will we ever be safe and secure again?
n000012,183.000,183.760,(SILENCE)
f000029,183.760,184.360,Yes.
n000013,184.360,185.000,(SILENCE)
f000030,185.000,186.160,We absolutely must be.
n000014,186.160,186.840,(SILENCE)
f000031,186.840,187.520,That's the goal.
