HEAD,0.000,7.000,
f000001,7.000,12.480,Good evening from the Clark Athletic Center at the University of Massachusetts in Boston.
n000001,12.480,12.880,(SILENCE)
f000002,12.880,27.620,"I'm Jim Lehrer of the NewsHour on PBS, and I welcome you to the first of three 90-minute debates between the Democratic candidate for president, Vice President Al Gore and the Republican candidate, Governor George W. Bush of Texas."
f000003,27.620,37.320,The debates are sponsored by the Commission on Presidential Debates and they will be conducted within formats and rules agreed to between the commission and the two campaigns.
n000002,37.320,37.680,(SILENCE)
f000004,37.680,40.080,We'll have the candidates at podiums.
n000003,40.080,40.480,(SILENCE)
f000005,40.480,43.000,No answer to a question can exceed two minutes.
n000004,43.000,43.360,(SILENCE)
f000006,43.360,44.960,Rebuttal is limited to one minute.
f000007,44.960,52.440,But as moderator I have the option to follow up and to extend any particular give and take another three-and-a-half minutes.
f000008,52.440,55.640,"Even then, no single answer can exceed two minutes."
n000005,55.640,56.160,(SILENCE)
f000009,56.160,59.980,The candidates under their rules may not question each other directly.
n000006,59.980,60.560,(SILENCE)
f000010,60.560,65.900,"There will be no opening statements, but each candidate may have up to two minutes for a closing statement."
f000011,65.900,70.400,The questions and the subjects were chosen by me alone.
n000007,70.400,70.880,(SILENCE)
f000012,70.880,76.740,"I have told no one from the two campaigns, or the Commission, or anyone else involved what they are."
f000013,76.740,79.680,There is a small audience in the hall tonight.
n000008,79.680,80.080,(SILENCE)
f000014,80.080,83.040,"They are not here to participate, only to listen."
n000009,83.040,83.560,(SILENCE)
f000015,83.560,88.120,"I have asked, and they have agreed, to remain silent for the next 90 minutes."
n000010,88.120,88.600,(SILENCE)
f000016,88.600,94.840,"Except for right now, when they will applaud as we welcome the two candidates, Governor Bush and Vice President Gore."
f000017,94.840,94.841,(Applause)
f000018,94.841,128.440,"And now the first question as determined by a flip of a coin, it goes to Vice President Gore."
f000019,128.440,139.320,"Vice President Gore, you have questioned whether Governor Bush has the experience to be President of the United States."
n000011,139.320,139.800,(SILENCE)
f000020,139.800,141.180,What exactly do you mean?
f000021,141.180,150.240,"Well, Jim, first of all, I would like to thank the sponsors of this debate and the people of Boston for hosting the debate."
f000022,150.240,158.820,"I would like to thank Governor Bush for participating, and I would like to say I'm happy to be here with Tipper and our family."
f000023,158.820,163.820,I have actually not questioned Governor Bush's experience.
f000024,163.820,165.780,I have questioned his proposals.
f000025,165.780,167.280,And here is why.
f000026,167.280,171.660,I think this is a very important moment for our country.
f000027,171.660,175.000,We have achieved extraordinary prosperity.
f000028,175.000,179.680,"And in this election, America has to make an important choice."
n000012,179.680,180.040,(SILENCE)
f000029,180.040,186.000,"Will we use our prosperity to enrich not just the few, but all of our families?"
f000030,186.000,189.160,I believe we have to make the right and responsible choices.
n000013,189.160,189.760,(SILENCE)
