HEAD,0.000,8.000,
f000001,8.000,16.860,"Good evening, and welcome to the first and only vice presidential debate of 2012, sponsored by the Commission on Presidential Debates."
n000001,16.860,17.360,(SILENCE)
f000002,17.360,26.240,"I'm Martha Raddatz of ABC News, and I am honored to moderate this debate between two men who have dedicated much of their lives to public service."
n000002,26.240,26.600,(SILENCE)
f000003,26.600,31.080,Tonight's debate is divided between domestic and foreign policy issues.
f000004,31.080,37.780,"And I'm going to move back and forth between foreign and domestic, since that is what a vice president or president would have to do."
f000005,37.780,40.200,We will have nine different segments.
f000006,40.200,46.640,"At the beginning of each segment, I will ask both candidates a question, and they will each have two minutes to answer."
n000003,46.640,47.120,(SILENCE)
f000007,47.120,51.160,Then I will encourage a discussion between the candidates with follow-up questions.
n000004,51.160,51.760,(SILENCE)
f000008,51.760,57.880,"By coin toss, it has been determined that Vice President Biden will be first to answer the opening question."
n000005,57.880,58.480,(SILENCE)
f000009,58.480,61.200,We have a wonderful audience here at Centre College tonight.
f000010,61.200,97.400,"You will no doubt hear their enthusiasm at the end of the debate -- and right now, as we welcome Vice President Joe Biden and Congressman Paul Ryan."
f000011,97.400,98.500,"(APPLAUSE)  OK, you got your little wave to the families in."
f000012,98.500,99.060,It's great.
n000006,99.060,99.720,(SILENCE)
f000013,99.720,100.700,"Good evening, gentlemen."
f000014,100.700,102.880,It really is an honor to be here with both of you.
f000015,102.880,106.020,I would like to begin with Libya.
f000016,106.020,117.840,"On a rather somber note, one month ago tonight, on the anniversary of 9/11, Ambassador Chris Stevens and three other brave Americans were killed in a terrorist attack in Benghazi."
n000007,117.840,118.640,(SILENCE)
f000017,118.640,122.920,"The State Department has now made clear, there were no protesters there."
f000018,122.920,126.460,it was a pre-planned assault by heavily armed men.
n000008,126.460,127.360,(SILENCE)
f000019,127.360,131.840,"Wasn't this a massive intelligence failure, Vice President Biden?"
f000020,131.840,133.880,"What is was, it was a tragedy, Martha."
f000021,133.880,136.640,It -- Chris Stevens was one of our best.
n000009,136.640,136.960,(SILENCE)
f000022,136.960,138.640,We lost three other brave Americans.
