HEAD,0.000,7.000,
f000001,7.000,8.200,Good evening.
f000002,8.200,16.120,"And welcome to the third and last presidential debate of 2008, sponsored by the Commission on Presidential Debates."
f000003,16.120,17.640,I'm Bob Schieffer of CBS News.
n000001,17.640,18.040,(SILENCE)
f000004,18.040,19.880,The rules tonight are simple.
f000005,19.880,21.880,The subject is domestic policy.
f000006,21.880,26.660,I will divide the next hour-and-a-half into nine-minute segments.
f000007,26.660,29.220,I will ask a question at the beginning of each segment.
n000002,29.220,29.960,(SILENCE)
f000008,29.960,39.480,"Each candidate will then have two minutes to respond, and then we'll have a discussion."
f000009,39.480,44.980,I'll encourage them to ask follow-up questions of each other.
n000003,44.980,45.680,(SILENCE)
f000010,45.680,47.240,"If they do not, I will."
n000004,47.240,47.840,(SILENCE)
f000011,47.840,71.520,"The audience behind me has promised to be quiet, except at this moment, when we welcome Barack Obama and John McCain."
f000012,71.520,71.560,"(APPLAUSE)  Gentlemen, welcome."
f000013,71.560,78.500,"By now, we've heard all the talking points, so let's try to tell the people tonight some things that they -- they haven't heard."
n000005,78.500,79.080,(SILENCE)
f000014,79.080,79.500,Let's get to it.
n000006,79.500,80.880,(SILENCE)
f000015,80.880,84.320,"Another very bad day on Wall Street, as both of you know."
n000007,84.320,85.120,(SILENCE)
f000016,85.120,89.760,Both of you proposed new plans this week to address the economic crisis.
f000017,89.760,100.240,"Senator McCain, you proposed a $52 billion plan that includes new tax cuts on capital gains, tax breaks for seniors, write-offs for stock losses, among other things."
f000018,100.240,113.180,"Senator Obama, you proposed $60 billion in tax cuts for middle- income and lower-income people, more tax breaks to create jobs, new spending for public works projects to create jobs."
n000008,113.180,114.000,(SILENCE)
f000019,114.000,118.040,I will ask both of you: Why is your plan better than his?
n000009,118.040,118.600,(SILENCE)
f000020,118.600,120.460,"Senator McCain, you go first."
n000010,120.460,120.960,(SILENCE)
f000021,120.960,122.700,"Well, let -- let me say, Bob, thank you."
f000022,122.700,124.040,And thanks to Hofstra.
f000023,124.040,130.980,"And, by the way, our beloved Nancy Reagan is in the hospital tonight, so our thoughts and prayers are going with you."
f000024,130.980,133.720,"It's good to see you again, Senator Obama."
n000011,133.720,134.800,(SILENCE)
f000025,134.800,138.780,"Americans are hurting right now, and they're angry."
f000026,138.780,141.100,"They're hurting, and they're angry."
f000027,141.100,152.300,"They're innocent victims of greed and excess on Wall Street and as well as Washington, D.C. And they're angry, and they have every reason to be angry."
f000028,152.300,154.280,And they want this country to go in a new direction.
n000012,154.280,155.320,(SILENCE)
f000029,155.320,159.440,And there are elements of my proposal that you just outlined which I won't repeat.
n000013,159.440,160.520,(SILENCE)
f000030,160.520,165.580,"But we also have to have a short-term fix, in my view, and long- term fixes."
f000031,165.580,168.920,Let me just talk to you about one of the short-term fixes.
n000014,168.920,169.920,(SILENCE)
f000032,169.920,185.480,The catalyst for this housing crisis was the Fannie and Freddie Mae that caused subprime lending situation that now caused the housing market in America to collapse.
f000033,185.480,198.800,"I am convinced that, until we reverse this continued decline in home ownership and put a floor under it, and so that people have not only the hope and belief they can stay in their homes and realize the American dream, but that value will come up."
n000015,198.800,199.880,(SILENCE)
f000034,199.880,202.740,"Now, we have allocated $750 billion."
f000035,202.740,218.020,"Let's take 300 of that billion and go in and buy those home loan mortgages and negotiate with those people in their homes, 11 million homes or more, so that they can afford to pay the mortgage, stay in their home."
f000036,218.020,220.520,"Now, I know the criticism of this."
f000037,220.520,224.640,"Well, what about the citizen that stayed in their homes?"
f000038,224.640,226.340,That paid their mortgage payments?
n000016,226.340,226.960,(SILENCE)
f000039,226.960,231.760,It doesn't help that person in their home if the next door neighbor's house is abandoned.
n000017,231.760,232.760,(SILENCE)
f000040,232.760,235.060,And so we've got to reverse this.
f000041,235.060,236.740,We ought to put the homeowners first.
f000042,236.740,242.840,And I am disappointed that Secretary Paulson and others have not made that their first priority.
f000043,242.840,243.760,All right.
n000018,243.760,244.120,(SILENCE)
f000044,244.120,245.580,Senator Obama?
f000045,245.580,255.220,"Well, first of all, I want to thank Hofstra University and the people of New York for hosting us tonight and it's wonderful to join Senator McCain again, and thank you, Bob."
f000046,255.220,261.960,I think everybody understands at this point that we are experiencing the worst financial crisis since the Great Depression.
n000019,261.960,262.840,(SILENCE)
f000047,262.840,269.720,And the financial rescue plan that Senator McCain and I supported is an important first step.
n000020,269.720,270.080,(SILENCE)
f000048,270.080,276.120,And I pushed for some core principles: making sure that taxpayer can get their money back if they're putting money up.
n000021,276.120,276.760,(SILENCE)
f000049,276.760,279.380,Making sure that CEOs are not enriching themselves through this process.
f000050,279.380,283.780,And I think that it's going to take some time to work itself out.
f000051,283.780,289.140,But what we haven't yet seen is a rescue package for the middle class.
f000052,289.140,294.300,Because the fundamentals of the economy were weak even before this latest crisis.
f000053,294.300,297.540,So I've proposed four specific things that I think can help.
n000022,297.540,298.280,(SILENCE)
f000054,298.280,299.940,"Number one, let's focus on jobs."
f000055,299.940,308.240,I want to end the tax breaks for companies that are shipping jobs overseas and provide a tax credit for every company that's creating a job right here in America.
n000023,308.240,308.880,(SILENCE)
f000056,308.880,324.300,"Number two, let's help families right away by providing them a tax cut -- a middle-class tax cut for people making less than $200,000, and let's allow them to access their IRA accounts without penalty if they're experiencing a crisis."
f000057,324.300,328.680,Now Senator McCain and I agree with your idea that we've got to help homeowners.
f000058,328.680,336.720,That's why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages.
f000059,336.720,347.240,"I disagree with Senator McCain in how to do it, because the way Senator McCain has designed his plan, it could be a giveaway to banks if we're buying full price for mortgages that now are worth a lot less."
f000060,347.240,349.440,And we don't want to waste taxpayer money.
f000061,349.440,354.040,And we've got to get the financial package working much quicker than it has been working.
n000024,354.040,354.760,(SILENCE)
f000062,354.760,356.240,"Last point I want to make, though."
f000063,356.240,359.480,We've got some long-term challenges in this economy that have to be dealt with.
n000025,359.480,360.320,(SILENCE)
f000064,360.320,363.040,We've got to fix our energy policy that's giving our wealth away.
n000026,363.040,363.440,(SILENCE)
f000065,363.440,368.840,We've got to fix our health care system and we've got to invest in our education system for every young person to be able to learn.
n000027,368.840,369.280,(SILENCE)
f000066,369.280,369.640,All right.
f000067,369.640,371.360,Would you like to ask him a question?
n000028,371.360,371.720,(SILENCE)
f000068,371.720,372.000,No.
n000029,372.000,372.360,(SILENCE)
f000069,372.360,383.520,"I would like to mention that a couple days ago Senator Obama was out in Ohio and he had an encounter with a guy who's a plumber, his name is Joe Wurzelbacher."
n000030,383.520,384.440,(SILENCE)
f000070,384.440,390.760,"Joe wants to buy the business that he has been in for all of these years, worked 10, 12 hours a day."
f000071,390.760,398.560,And he wanted to buy the business but he looked at your tax plan and he saw that he was going to pay much higher taxes.
f000072,398.560,411.320,"You were going to put him in a higher tax bracket which was going to increase his taxes, which was going to cause him not to be able to employ people, which Joe was trying to realize the American dream."
n000031,411.320,411.840,(SILENCE)
f000073,411.840,415.040,"Now Senator Obama talks about the very, very rich."
f000074,415.040,428.720,"Joe, I want to tell you, I'll not only help you buy that business that you worked your whole life for and be able -- and I'll keep your taxes low and I'll provide available and affordable health care for you and your employees."
f000075,428.720,437.720,And I will not have -- I will not stand for a tax increase on small business income.
f000076,437.720,442.580,Fifty percent of small business income taxes are paid by small businesses.
n000032,442.580,443.000,(SILENCE)
f000077,443.000,445.760,That's 16 million jobs in America.
f000078,445.760,456.420,And what you want to do to Joe the plumber and millions more like him is have their taxes increased and not be able to realize the American dream of owning their own business.
f000079,456.420,458.120,Is that what you want to do?
f000080,458.120,458.840,That's what Joe believes.
f000081,458.840,461.000,He has been watching ads of Senator McCain's.
f000082,461.000,463.960,Let me tell you what I'm actually going to do.
n000033,463.960,465.840,(SILENCE)
f000083,465.840,468.500,I think tax policy is a major difference between Senator McCain and myself.
n000034,468.500,469.600,(SILENCE)
f000084,469.600,474.120,"And we both want to cut taxes, the difference is who we want to cut taxes for."
n000035,474.120,474.960,(SILENCE)
f000085,474.960,485.480,"Now, Senator McCain, the centerpiece of his economic proposal is to provide $200 billion in additional tax breaks to some of the wealthiest corporations in America."
n000036,485.480,486.680,(SILENCE)
f000086,486.680,492.760,"Exxon Mobil, and other oil companies, for example, would get an additional $4 billion in tax breaks."
f000087,492.760,500.780,"What I've said is I want to provide a tax cut for 95 percent of working Americans, 95 percent."
f000088,500.780,508.200,"If you make more -- if you make less than a quarter million dollars a year, then you will not see your income tax go up, your capital gains tax go up, your payroll tax."
n000037,508.200,508.680,(SILENCE)
f000089,508.680,509.920,Not one dime.
f000090,509.920,514.920,"And 95 percent of working families, 95 percent of you out there, will get a tax cut."
f000091,514.920,525.640,"In fact, independent studies have looked at our respective plans and have concluded that I provide three times the amount of tax relief to middle-class families than Senator McCain does."
n000038,525.640,526.080,(SILENCE)
f000092,526.080,536.180,"Now, the conversation I had with Joe the plumber, what I essentially said to him was, ""Five years ago, when you were in a position to buy your business, you needed a tax cut then."""
f000093,536.180,546.760,"And what I want to do is to make sure that the plumber, the nurse, the firefighter, the teacher, the young entrepreneur who doesn't yet have money, I want to give them a tax break now."
n000039,546.760,547.320,(SILENCE)
f000094,547.320,549.160,And that requires us to make some important choices.
f000095,549.160,550.680,The last point I'll make about small businesses.
n000040,550.680,551.160,(SILENCE)
f000096,551.160,561.720,"Not only do 98 percent of small businesses make less than $250,000, but I also want to give them additional tax breaks, because they are the drivers of the economy."
n000041,561.720,562.160,(SILENCE)
f000097,562.160,565.440,They produce the most jobs.
f000098,565.440,571.400,"You know, when Senator Obama ended up his conversation with Joe the plumber -- we need to spread the wealth around."
f000099,571.400,578.680,"In other words, we're going to take Joe's money, give it to Senator Obama, and let him spread the wealth around."
f000100,578.680,580.900,I want Joe the plumber to spread that wealth around.
f000101,580.900,583.400,You told him you wanted to spread the wealth around.
n000042,583.400,584.080,(SILENCE)
f000102,584.080,592.280,"The whole premise behind Senator Obama's plans are class warfare, let's spread the wealth around."
n000043,592.280,592.760,(SILENCE)
f000103,592.760,601.720,"I want small businesses -- and by the way, the small businesses that we're talking about would receive an increase in their taxes right now."
f000104,601.720,604.040,Who -- why would you want to increase anybody's taxes right now?
f000105,604.040,617.680,"Why would you want to do that, anyone, anyone in America, when we have such a tough time, when these small business people, like Joe the plumber, are going to create jobs, unless you take that money from him and spread the wealth around."
f000106,617.680,618.560,I'm not going to...
f000107,618.560,619.460,OK. Can I...
f000108,619.460,620.740,We're not going to do that in my administration.
f000109,620.740,622.520,If I can answer the question.
f000110,622.520,629.980,"Number one, I want to cut taxes for 95 percent of Americans."
f000111,629.980,638.060,"Now, it is true that my friend and supporter, Warren Buffett, for example, could afford to pay a little more in taxes in order..."
f000112,638.060,638.980,We're talking about Joe the plumber.
f000113,638.980,647.760,"... in order to give -- in order to give additional tax cuts to Joe the plumber before he was at the point where he could make $250,000."
n000044,647.760,648.240,(SILENCE)
f000114,648.240,667.840,"Then Exxon Mobil, which made $12 billion, record profits, over the last several quarters, they can afford to pay a little more so that ordinary families who are hurting out there -- they're trying to figure out how they're going to afford food, how they're going to save for their kids' college education, they need a break."
n000045,667.840,668.280,(SILENCE)
f000115,668.280,671.000,"So, look, nobody likes taxes."
f000116,671.000,675.800,"I would prefer that none of us had to pay taxes, including myself."
f000117,675.800,681.240,"But ultimately, we've got to pay for the core investments that make this economy strong and somebody's got to do it."
f000118,681.240,682.160,Nobody likes taxes.
f000119,682.160,683.560,Let's not raise anybody's taxes.
f000120,683.560,683.600,OK?
f000121,683.600,684.760,"Well, I don't mind paying a little more."
f000122,684.760,691.880,The fact is that businesses in America today are paying the second highest tax rate of anywhere in the world.
n000046,691.880,693.000,(SILENCE)
f000123,693.000,695.600,Our tax rate for business in America is 35 percent.
n000047,695.600,696.280,(SILENCE)
f000124,696.280,698.680,"Ireland, it's 11 percent."
f000125,698.680,704.980,Where are companies going to go where they can create jobs and where they can do best in business?
n000048,704.980,705.480,(SILENCE)
f000126,705.480,708.080,We need to cut the business tax rate in America.
f000127,708.080,709.320,We need to encourage business.
n000049,709.320,709.880,(SILENCE)
f000128,709.880,713.720,"Now, of all times in America, we need to cut people's taxes."
n000050,713.720,714.160,(SILENCE)
f000129,714.160,717.840,"We need to encourage business, create jobs, not spread the wealth around."
n000051,717.840,718.240,(SILENCE)
f000130,718.240,719.000,All right.
f000131,719.000,720.360,Let's go to another topic.
f000132,720.360,721.100,It's related.
f000133,721.100,723.960,"So if you have other things you want to say, you can get back to that."
n000052,723.960,724.360,(SILENCE)
f000134,724.360,726.720,"This question goes to you first, Senator Obama."
n000053,726.720,727.520,(SILENCE)
f000135,727.520,734.980,We found out yesterday that this year's deficit will reach an astounding record high $455 billion.
f000136,734.980,739.420,Some experts say it could go to $1 trillion next year.
f000137,739.420,759.380,"Both of you have said you want to reduce the deficit, but the nonpartisan Committee for a Responsible Federal Budget ran the numbers on both of your proposals and they say the cost of your proposals, even with the savings you claim can be made, each will add more than $200 billion to the deficit."
n000054,759.380,760.240,(SILENCE)
f000138,760.240,762.880,Aren't you both ignoring reality?
n000055,762.880,763.240,(SILENCE)
f000139,763.240,770.120,"Won't some of the programs you are proposing have to be trimmed, postponed, even eliminated?"
n000056,770.120,770.720,(SILENCE)
f000140,770.720,773.660,Give us some specifics on what you're going to cut back.
f000141,773.660,774.320,Senator Obama?
n000057,774.320,774.760,(SILENCE)
f000142,774.760,791.240,"Well, first of all, I think it's important for the American public to understand that the $750 billion rescue package, if it's structured properly, and, as president, I will make sure it's structured properly, means that ultimately taxpayers get their money back, and that's important to understand."
n000058,791.240,792.200,(SILENCE)
f000143,792.200,797.440,But there is no doubt that we've been living beyond our means and we're going to have to make some adjustments.
f000144,797.440,803.160,"Now, what I've done throughout this campaign is to propose a net spending cut."
