HEAD,0.000,8.000,
f000001,8.000,11.360,"Good evening from Hofstra University in Hempstead, New York."
f000002,11.360,14.520,"I’m Lester Holt, anchor of ""NBC Nightly News."""
f000003,14.520,17.040,I want to welcome you to the first presidential debate.
n000001,17.040,17.720,(SILENCE)
f000004,17.720,20.600,The participants tonight are Donald Trump and Hillary Clinton.
n000002,20.600,21.560,(SILENCE)
f000005,21.560,27.040,"This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization."
f000006,27.040,32.280,"The commission drafted tonight’s format, and the rules have been agreed to by the campaigns."
n000003,32.280,33.160,(SILENCE)
f000007,33.160,37.760,"The 90-minute debate is divided into six segments, each 15 minutes long."
n000004,37.760,38.280,(SILENCE)
f000008,38.280,45.780,We’ll explore three topic areas tonight: Achieving prosperity; America’s direction; and securing America.
f000009,45.780,52.920,"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond."
n000005,52.920,53.680,(SILENCE)
f000010,53.680,56.960,"From that point until the end of the segment, we’ll have an open discussion."
n000006,56.960,57.800,(SILENCE)
f000011,57.800,61.920,The questions are mine and have not been shared with the commission or the campaigns.
f000012,61.920,67.920,The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.
n000007,67.920,68.360,(SILENCE)
f000013,68.360,81.440,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump."
f000014,81.440,81.441,[applause]
f000015,81.441,87.280,"How are you, Donald?"
f000016,87.280,87.281,[applause]
f000017,87.281,87.840,Good luck to you.
f000018,87.840,87.841,[applause]
f000019,87.841,115.500,"Well, I don’t expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled."
n000008,115.500,116.080,(SILENCE)
f000020,116.080,122.100,"We are going to focus on many of the issues that voters tell us are most important, and we’re going to press for specifics."
f000021,122.100,127.760,"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people."
n000009,127.760,128.240,(SILENCE)
f000022,128.240,134.360,"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values."
f000023,134.360,136.640,"So, let’s begin."
f000024,136.640,140.820,"We’re calling this opening segment ""Achieving Prosperity."""
f000025,140.820,143.480,And central to that is jobs.
f000026,143.480,146.360,There are two economic realities in America today.
f000027,146.360,154.680,"There’s been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation."
n000010,154.680,155.120,(SILENCE)
f000028,155.120,161.920,"However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck."
f000029,161.920,170.840,"Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?"
