HEAD,0.000,7.000,
f000001,7.000,12.620,"Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas."
n000001,12.620,13.200,(SILENCE)
f000002,13.200,25.120,"I’m Chris Wallace of Fox News, and I welcome you to the third and final of the 2016 presidential debates between Secretary of State Hillary Clinton and Donald J. Trump."
f000003,25.120,28.020,This debate is sponsored by the Commission on Presidential Debates.
n000002,28.020,28.560,(SILENCE)
f000004,28.560,38.620,"The commission has designed the format: Six roughly 15-minute segments with two-minute answers to the first question, then open discussion for the rest of each segment."
n000003,38.620,39.400,(SILENCE)
f000005,39.400,41.820,Both campaigns have agreed to those rules.
n000004,41.820,42.560,(SILENCE)
f000006,42.560,46.560,"For the record, I decided the topics and the questions in each topic."
n000005,46.560,47.200,(SILENCE)
f000007,47.200,51.000,None of those questions has been shared with the commission or the two candidates.
n000006,51.000,51.720,(SILENCE)
f000008,51.720,54.460,The audience here in the hall has promised to remain silent.
f000009,54.460,67.400,"No cheers, boos, or other interruptions so we and you can focus on what the candidates have to say."
f000010,67.400,91.240,"No noise, except right now, as we welcome the Democratic nominee for president, Secretary Clinton, and the Republican nominee for president, Mr. Trump."
f000011,91.240,91.241,(APPLAUSE)
f000012,91.241,92.320,"Secretary Clinton, Mr. Trump, welcome."
f000013,92.320,92.880,Let’s get right to it.
f000014,92.880,94.120,The first topic is the Supreme Court.
n000007,94.120,95.160,(SILENCE)
f000015,95.160,108.120,"You both talked briefly about the court in the last debate, but I want to drill down on this, because the next president will almost certainly have at least one appointment and likely or possibly two or three appointments."
n000008,108.120,108.480,(SILENCE)
f000016,108.480,114.600,"Which means that you will, in effect, determine the balance of the court for what could be the next quarter century."
n000009,114.600,115.320,(SILENCE)
f000017,115.320,118.800,"First of all, where do you want to see the court take the country?"
n000010,118.800,119.360,(SILENCE)
f000018,119.360,125.220,"And secondly, what’s your view on how the Constitution should be interpreted?"
f000019,125.220,134.440,Do the founders’ words mean what they say or is it a living document to be applied flexibly according to changing circumstances?
n000011,134.440,134.840,(SILENCE)
f000020,134.840,137.320,"In this segment, Secretary Clinton, you go first."
f000021,137.320,137.940,You have two minutes.
f000022,137.940,139.500,"Thank you very much, Chris."
f000023,139.500,141.840,And thanks to UNLV for hosting us.
n000012,141.840,142.520,(SILENCE)
f000024,142.520,151.440,"You know, I think when we talk about the Supreme Court, it really raises the central issue in this election, namely, what kind of country are we going to be?"
n000013,151.440,152.040,(SILENCE)
f000025,152.040,155.760,What kind of opportunities will we provide for our citizens?
f000026,155.760,158.760,What kind of rights will Americans have?
n000014,158.760,159.520,(SILENCE)
f000027,159.520,171.820,"And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy."
f000028,171.820,199.400,"For me, that means that we need a Supreme Court that will stand up on behalf of women’s rights, on behalf of the rights of the LGBT community, that will stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come into our electoral system."
f000029,199.400,205.440,I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.
n000015,205.440,206.480,(SILENCE)
f000030,206.480,229.440,"But I feel that at this point in our country’s history, it is important that we not reverse marriage equality, that we not reverse Roe v. Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us."
n000016,229.440,229.920,(SILENCE)
f000031,229.920,244.680,"That’s how I see the court, and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up to the powerful, standing up on behalf of our rights as Americans."
n000017,244.680,245.360,(SILENCE)
f000032,245.360,247.800,And I look forward to having that opportunity.
f000033,247.800,254.560,I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them.
n000018,254.560,255.040,(SILENCE)
f000034,255.040,258.200,That’s the way the Constitution fundamentally should operate.
