HEAD,0.000,6.960,
f000001,6.960,12.540,"Good evening from the Mahaffey Theater at the Bayfront Center in St. Petersburg, Florida."
n000001,12.540,13.020,(SILENCE)
f000002,13.020,15.600,"I'm Jim Lehrer of the ""News Hour"" on PBS."
n000002,15.600,16.260,(SILENCE)
f000003,16.260,25.800,"Welcome to the 1996 Vice Presidential Debate between Vice President Al Gore, the democratic nominee, and Jack Kemp, the republican nominee."
n000003,25.800,26.580,(SILENCE)
f000004,26.580,29.880,This event is sponsored by the Commission on Presidential Debates.
n000004,29.880,30.360,(SILENCE)
f000005,30.360,40.020,"The rules and format, as drawn and agreed to by the two campaigns are almost identical to those of the presidential debate last Sunday night in Hartford."
n000005,40.020,40.620,(SILENCE)
f000006,40.620,41.880,It is 90 minutes long.
n000006,41.880,42.360,(SILENCE)
f000007,42.360,45.180,The candidates are not permitted to question each other directly.
n000007,45.180,45.660,(SILENCE)
f000008,45.660,48.720,I will ask the questions with no limitations on the subjects.
n000008,48.720,49.320,(SILENCE)
f000009,49.320,55.860,"There will be a 90-second answer, a 60-second rebuttal, and a 30-second response to each question."
n000009,55.860,56.460,(SILENCE)
f000010,56.460,60.720,"And with the help of some lights, I will help the candidates abide by those time limits."
n000010,60.720,61.680,(SILENCE)
f000011,61.680,64.800,The order for everything was determined by a coin toss.
n000011,64.800,65.100,(SILENCE)
f000012,65.100,69.540,"There will be three-minute closing statements, but no opening statements."
n000012,69.540,70.260,(SILENCE)
f000013,70.260,73.740,"So, we go now to the first question and to Mr. Kemp."
n000013,73.740,76.080,(SILENCE)
f000014,76.080,88.920,Some supporters of Senator Dole have expressed disappointment over his unwillingness in Hartford Sunday night to draw personal and ethical differences between him and President Clinton.
n000014,88.920,89.340,(SILENCE)
f000015,89.340,90.060,How do you feel about it?
n000015,90.060,91.380,(SILENCE)
f000016,91.380,93.120,"Wow, in 90 seconds?"
n000016,93.120,94.440,(SILENCE)
f000017,94.440,96.450,I can't clear my throat in 90 seconds.
n000017,96.450,97.860,(SILENCE)
f000018,97.860,104.040,"Jim, Bob Dole and myself do not see Al Gore and Bill Clinton as our enemy."
n000018,104.040,104.820,(SILENCE)
f000019,104.820,106.260,We see them as our opponents.
n000019,106.260,106.920,(SILENCE)
f000020,106.920,108.540,This is the greatest democracy in the world.
n000020,108.540,109.200,(SILENCE)
f000021,109.200,118.680,"People are watching not only throughout this country, but all over the world as to how this democracy can function with civility and respect, and decency and integrity."
n000021,118.680,119.760,(SILENCE)
f000022,119.760,127.500,"Bob Dole, um, is one of those men who served in the United States Senate, his public life is a public record."
n000022,127.500,128.700,(SILENCE)
f000023,128.700,130.620,He fought on the battlefield.
n000023,130.620,131.700,(SILENCE)
f000024,131.700,133.740,He has worked with Democrats and Republicans.
n000024,133.740,135.180,(SILENCE)
f000025,135.180,139.680,"In my opinion, it is beneath Bob Dole to go after anyone personally."
n000025,139.680,140.880,(SILENCE)
f000026,140.880,146.040,"Clearly, Abraham Lincoln put it best when he said you serve your party best by serving the nation first."
n000026,146.040,146.820,(SILENCE)
f000027,146.820,154.800,And I can't think of a better way of serving this nation in 1996 than by electing Bob Dole as the President of the United States of America.
n000027,154.800,155.820,(SILENCE)
f000028,155.820,160.740,These issues are fully capable of being understood and reflected upon by the American people.
n000028,160.740,161.640,(SILENCE)
f000029,161.640,167.820,This is a democracy in which we have the freest press and the greatest First Amendment rights in the history of mankind.
n000029,167.820,168.900,(SILENCE)
f000030,168.900,169.920,And Bob and I respect that.
n000030,169.920,170.400,(SILENCE)
f000031,170.400,182.940,"These issues will be aired, but they'll be aired with dignity and respect, and, ultimately, leave it to the American people to make up their minds about who should be the leader of this country into the 21st Century."
f000032,182.940,183.540,Mr. Vice President?
n000031,183.540,184.620,(SILENCE)
f000033,184.620,186.780,"Thank you, Mr. Lehrer."
f000034,186.780,190.920,And I would like to thank the people of St. Petersburg for being such wonderful hosts.
n000032,190.920,191.520,(SILENCE)
f000035,191.520,198.360,My family and I are very glad to be here and I would like to thank Jack Kemp for the answer that he just gave.
n000033,198.360,199.320,(SILENCE)
f000036,199.320,204.480,I think we have an opportunity tonight to have a positive debate about this country's future.
n000034,204.480,205.680,(SILENCE)
f000037,205.680,208.380,"I'd like to start by offering you a deal, Jack."
n000035,208.380,209.280,(SILENCE)
f000038,209.280,218.880,"If you won't use any football stories, I won't tell any of my warm and humorous stories about chlorofluorocarbon abatement."
n000036,218.880,219.840,(SILENCE)
f000039,219.840,222.360,It's a deal.
n000037,222.360,223.740,(SILENCE)
f000040,223.740,226.020,I can't even pronounce it.
f000041,226.020,233.940,What I do want to talk about tonight is Bill Clinton's positive plan for America's future.
n000038,233.940,234.780,(SILENCE)
f000042,234.780,241.500,"We have a plan to balance the budget while protecting Medicare, Medicaid, education and the environment."
n000039,241.500,242.700,(SILENCE)
f000043,242.700,248.340,"Creating millions of new jobs, including one million new jobs in America's inner cities."
n000040,248.340,248.880,(SILENCE)
f000044,248.880,259.920,"I'm excited about the chance to talk about this plan and even more excited about the chance to work on it, if you, the people of this country, will give Bill Clinton and me the privilege of doing so for four more years."
f000045,259.920,260.700,Mr. Kemp?
n000041,260.700,262.440,(SILENCE)
f000046,262.440,271.440,"I really got only two differences with Bill Clinton -- Â President Clinton and Mr. Gore, foreign policy and domestic policy."
n000042,271.440,272.340,(SILENCE)
f000047,272.340,286.680,"Our foreign policy is ambivalent, confusing, it is sending strong signals to the wrong people, and we have learned over the years that weakness is provocative, but domestic economy is not doing what it can do."
n000043,286.680,287.220,(SILENCE)
f000048,287.220,289.440,This President believes we are at our capacity.
n000044,289.440,289.860,(SILENCE)
f000049,289.860,291.480,Bob Dole and I believe we can do a lot better.
n000045,291.480,292.020,(SILENCE)
f000050,292.020,298.860,It is about the potential of the American people to lift themselves up and not have their lives controlled by the United States Government and Washington.
n000046,298.860,299.820,(SILENCE)
f000051,299.820,313.080,"Mr. Vice President, what do you see as the political philosophy differences in a general way between you and President Clinton on the one hand, Mr. Kemp and Senator Dole on the other?"
