HEAD,0.000,7.000,
f000001,7.000,8.780,Good evening.
f000002,8.780,19.380,"From Longwood University in Farmville, Virginia, and welcome to the first, and only, vice presidential debate of 2016, sponsored by the Commission on Presidential Debates."
f000003,19.380,24.160,"I’m Elaine Quijano, anchor at CBSN, and correspondent for CBS News."
n000001,24.160,24.520,(SILENCE)
f000004,24.520,30.100,It’s an honor to moderate this debate between Senator Tim Kaine and Governor Mike Pence.
f000005,30.100,36.600,Both are longtime public servants who are also proud fathers of sons serving in the U.S. Marines.
n000002,36.600,37.400,(SILENCE)
f000006,37.400,40.520,The campaigns have agreed to the rules of this 90-minute debate.
f000007,40.520,45.080,There will be nine different segments covering domestic and foreign policy issues.
f000008,45.080,50.400,Each segment will begin with a question to both candidates who will each have two minutes to answer.
f000009,50.400,55.460,Then I’ll ask follow-up questions to facilitate a discussion between the candidates.
f000010,55.460,61.540,"By coin toss, it’s been determined that Senator Kaine will be first to answer the opening question."
f000011,61.540,64.320,We have an enthusiastic audience tonight.
f000012,64.320,92.280,They’ve agreed to only express that enthusiasm once at the end of the debate and right now as we welcome Governor Mike Pence and Senator Tim Kaine.
f000013,92.280,92.281,[applause]
f000014,92.281,99.700,"Gentlemen, welcome."
f000015,99.700,102.900,It truly is a privilege to be with both of you tonight.
f000016,102.900,105.960,I’d like to start with the topic of presidential leadership.
n000003,105.960,106.320,(SILENCE)
f000017,106.320,126.820,"Twenty-eight years ago tomorrow night, Lloyd Bentsen said the vice presidential debate was not about the qualifications for the vice presidency, but about how if tragedy should occur, the vice president has to step in without any margin for error, without time for preparation, to take over the responsibility for the biggest job in the world."
f000018,126.820,134.960,"What about your qualities, your skills, and your temperament equip you to step into that role at a moment’s notice?"
f000019,134.960,136.440,Senator Kaine?
f000020,136.440,139.160,"Elaine, thank you for being here tonight, and, Governor Pence, welcome."
f000021,139.160,143.600,"It is so great to be back at Longwood University in Farmville, Virginia."
f000022,143.600,144.840,This is a very special place.
n000004,144.840,145.400,(SILENCE)
f000023,145.400,152.920,"Sixty-five years ago, a young, courageous woman, Barbara Johns, led a walkout of her high school, Moton High School."
n000005,152.920,153.480,(SILENCE)
f000024,153.480,156.280,She made history by protesting school segregation.
n000006,156.280,156.840,(SILENCE)
f000025,156.840,160.000,She believed our nation was stronger together.
f000026,160.000,165.720,And that walkout led to the Brown v. Board of Education decision that moved us down the path toward equality.
n000007,165.720,166.240,(SILENCE)
f000027,166.240,173.080,"I am so proud to be running with another strong, history-making woman, Hillary Clinton, to be president of the United States."
n000008,173.080,173.600,(SILENCE)
f000028,173.600,193.240,"I’m proud because her vision of stronger together, building an economy that works for all, not just those at the top, being safe in the world not only with a strong military, but also strong alliances to battle terrorism and climate change, and also to build a community of respect, just like Barbara Johns tried to do 65 years ago."
f000029,193.240,195.300,That’s why I’m so proud to be her running mate.
f000030,195.300,198.380,Hillary told me why she asked me to be her running mate.
f000031,198.380,204.180,She said the test of a Clinton administration will not be the signing of a bill or the passage of a bill.
f000032,204.180,215.660,"It’ll be whether we can make somebody’s life better, whether we can make a classroom better learning environment for schoolkids or teachers, whether we can make a safer — it’s going to be about results."
f000033,215.660,219.160,"And she said to me, you’ve been a missionary and a civil rights lawyer."
n000009,219.160,219.560,(SILENCE)
f000034,219.560,220.880,You’ve been a city councilman and mayor.
f000035,220.880,224.880,You’ve been a lieutenant governor and governor and now a U.S. senator.
f000036,224.880,234.980,I think you will help me figure out how to govern this nation so that we always keep in mind that the success of the administration is the difference we make in people’s lives.
f000037,234.980,239.740,"And that’s what I bring to the ticket, that experience having served at all levels of government."
f000038,239.740,248.440,But my primary role is to be Hillary Clinton’s right-hand person and strong supporter as she puts together the most historic administration possible.
f000039,248.440,249.400,And I relish that role.
f000040,249.400,250.360,I’m so proud of her.
f000041,250.360,256.040,"I’ll just say this: We trust Hillary Clinton, my wife and I, and we trust her with the most important thing in our life."
f000042,256.040,258.980,We have a son deployed overseas in the Marine Corps right now.
f000043,258.980,266.220,"We trust Hillary Clinton as president and commander-in-chief, but the thought of Donald Trump as commander-in-chief scares us to death."
f000044,266.220,267.880,Governor Pence?
f000045,267.880,275.320,"Well, first off, thank you, Elaine, and thank you to — thank you to Norwood University for their wonderful hospitality and the Commission on Presidential Debates."
f000046,275.320,280.480,"It’s deeply humbling for me to be here, to be surrounded by my — my wonderful family."
f000047,280.480,284.360,"And, Senator Kaine, it’s an honor to be here with you, as well."
n000010,284.360,284.800,(SILENCE)
f000048,284.800,295.680,"And I just — I also want to say — I want to say thanks to everyone that’s looking in tonight, who understands what an enormously important time this is in the life of our nation."
f000049,295.680,300.900,"For the last seven-and-a-half years, we’ve seen America’s place in the world weakened."
f000050,300.900,313.060,"We’ve seen an economy stifled by more taxes, more regulation, a war on coal, and a failing health care reform come to be known as Obamacare, and the American people know that we need to make a change."
f000051,313.060,316.760,And so I want to thank all of you for being — being with us tonight.
f000052,316.760,322.960,I also want to thank Donald Trump for making that call and inviting us to be a part of this ticket.
f000053,322.960,326.480,"I have to tell you, I’m a — I’m a small-town boy from a place not too different from Farmville."
n000011,326.480,326.880,(SILENCE)
f000054,326.880,329.460,I grew up with a cornfield in my backyard.
f000055,329.460,333.040,My grandfather had immigrated to this country when he was about my son’s age.
n000012,333.040,333.680,(SILENCE)
f000056,333.680,338.840,My mom and dad built a — everything that matters in a small town in Southern Indiana.
f000057,338.840,342.200,They built a family and — and a good name and a business.
f000058,342.200,344.140,And they raised a family.
f000059,344.140,358.240,"And I dreamed some day of representing my home town in Washington, D.C., but I — honestly, Elaine, I never imagined — never imagined I’d have the opportunity to be governor of the state that I love, let alone be sitting at a table like this in this kind of a position."
f000060,358.240,373.680,"So to answer your question, I would say I — I would hope that if — if the responsibility ever fell to me in this role, that I would meet it with the way that I’m going to meet the responsibility should I be elected vice president of the United States."
f000061,373.680,395.700,"And that’s to bring a lifetime of experience, a lifetime growing up in a small town, a lifetime where I’ve served in the Congress of the United States, where — where I’ve led a state that works in the great state of Indiana, and whatever other responsibilities might follow from this, I — I would hope and, frankly, I would pray to be able to meet that moment with that — that lifetime of experience."
f000062,395.700,406.660,"Senator Kaine, on the campaign trail, you praised Secretary Clinton’s character, including her commitment to public service, yet 60 percent of voters don’t think she’s trustworthy."
f000063,406.660,408.940,Why do so many people distrust her?
f000064,408.940,413.480,Is it because they have questions about her e-mails and the Clinton Foundation?
f000065,413.480,415.540,"Elaine, let me tell you why I trust Hillary Clinton."
f000066,415.540,418.720,Here’s what people should look at as they look at a public servant.
n000013,418.720,419.320,(SILENCE)
f000067,419.320,423.740,Do they have a passion in their life that showed up before they were in public life?
f000068,423.740,430.640,"And have they held onto that passion throughout their life, regardless of whether they were in office or not, succeeding or failing?"
n000014,430.640,431.080,(SILENCE)
f000069,431.080,432.740,Hillary Clinton has that passion.
f000070,432.740,442.560,"From a time as a kid in a Methodist youth group in the suburbs of Chicago, she has been focused on serving others with a special focus on empowering families and kids."
f000071,442.560,452.640,"As a civil rights lawyer in the South, with the Children’s Defense Fund, first lady of Arkansas and this country, senator, secretary of state, it’s always been about putting others first."
f000072,452.640,455.400,And that’s a sharp contrast with Donald Trump.
f000073,455.400,457.920,Donald Trump always puts himself first.
f000074,457.920,463.620,"He built a business career, in the words of one of his own campaign staffers, ""off the backs of the little guy."""
